INFO 2026-05-03 15:31:26,602 autoreload 22860 24620 Watching for file changes with StatReloader
INFO 2026-05-03 17:21:20,130 log 19624 19652 "GET /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2026-05-03 17:21:20,331 log 19624 23860 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
WARNING 2026-05-03 17:21:38,007 log 19624 19652 Unauthorized: /api/v1/auth/profile/
WARNING 2026-05-03 17:21:38,008 log 19624 19652 "GET /api/v1/auth/profile/ HTTP/1.1" 401 5097
INFO 2026-05-03 17:21:38,087 log 19624 19652 "GET /static/rest_framework/css/bootstrap.min.css HTTP/1.1" 200 121457
INFO 2026-05-03 17:21:38,092 log 19624 6768 "GET /static/rest_framework/css/bootstrap-tweaks.css HTTP/1.1" 200 3426
INFO 2026-05-03 17:21:38,105 log 19624 19652 "GET /static/rest_framework/css/prettify.css HTTP/1.1" 200 817
INFO 2026-05-03 17:21:38,109 log 19624 6768 "GET /static/rest_framework/css/default.css HTTP/1.1" 200 1152
INFO 2026-05-03 17:21:38,121 log 19624 6768 "GET /static/rest_framework/js/ajax-form.js HTTP/1.1" 200 3796
INFO 2026-05-03 17:21:38,123 log 19624 19652 "GET /static/rest_framework/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
INFO 2026-05-03 17:21:38,127 log 19624 6768 "GET /static/rest_framework/js/csrf.js HTTP/1.1" 200 1793
INFO 2026-05-03 17:21:38,130 log 19624 19652 "GET /static/rest_framework/js/bootstrap.min.js HTTP/1.1" 200 39680
INFO 2026-05-03 17:21:38,138 log 19624 6768 "GET /static/rest_framework/js/prettify-min.js HTTP/1.1" 200 13632
INFO 2026-05-03 17:21:38,139 log 19624 19652 "GET /static/rest_framework/js/default.js HTTP/1.1" 200 1268
INFO 2026-05-03 17:21:38,148 log 19624 19652 "GET /static/rest_framework/js/load-ajax-form.js HTTP/1.1" 200 59
INFO 2026-05-03 17:21:38,148 log 19624 6768 "GET /static/rest_framework/img/grid.png HTTP/1.1" 200 1458
INFO 2026-05-03 17:21:52,299 log 19624 23860 "POST /api/v1/auth/login/ HTTP/1.1" 200 505
INFO 2026-05-03 17:21:52,308 log 19624 23860 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:21:52,322 log 19624 6768 "GET /admin/ HTTP/1.1" 302 0
INFO 2026-05-03 17:21:52,326 log 19624 6768 "GET /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2026-05-03 17:21:52,489 log 19624 23860 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:22:20,005 log 19624 23860 "POST /api/v1/auth/login/ HTTP/1.1" 200 505
INFO 2026-05-03 17:22:20,014 log 19624 23860 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:22:20,027 log 19624 6768 "GET /admin/ HTTP/1.1" 302 0
INFO 2026-05-03 17:22:20,032 log 19624 6768 "GET /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2026-05-03 17:22:20,198 log 19624 23860 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:23:08,456 log 19624 23860 "POST /api/v1/auth/login/ HTTP/1.1" 200 505
INFO 2026-05-03 17:23:08,468 log 19624 23860 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:23:08,484 log 19624 6768 "GET /admin/ HTTP/1.1" 302 0
INFO 2026-05-03 17:23:08,490 log 19624 6768 "GET /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2026-05-03 17:23:08,700 log 19624 23860 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:23:58,437 log 19624 23860 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:23:58,732 log 19624 23860 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:23:58,756 log 19624 23860 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:24:00,187 log 19624 21952 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:24:00,193 log 19624 21952 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:24:06,095 log 19624 23860 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:24:06,210 log 19624 23860 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:24:06,311 log 19624 23860 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:24:06,908 log 19624 21952 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:24:06,974 log 19624 21952 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:24:26,710 log 19624 23860 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:24:45,907 log 19624 23860 "POST /api/v1/auth/login/ HTTP/1.1" 200 505
INFO 2026-05-03 17:24:45,942 log 19624 23860 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:24:45,976 log 19624 6768 "GET /admin/ HTTP/1.1" 302 0
INFO 2026-05-03 17:24:45,984 log 19624 6768 "GET /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2026-05-03 17:24:46,316 log 19624 23860 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:25:30,866 log 19624 23860 "POST /api/v1/auth/login/ HTTP/1.1" 200 505
INFO 2026-05-03 17:25:30,904 log 19624 23860 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:25:30,939 log 19624 6768 "GET /admin/ HTTP/1.1" 302 0
INFO 2026-05-03 17:25:30,961 log 19624 6768 "GET /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2026-05-03 17:25:31,267 log 19624 23860 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
INFO 2026-05-03 17:26:02,018 log 19624 6768 "GET /admin/ HTTP/1.1" 302 0
INFO 2026-05-03 17:26:02,033 log 19624 6768 "GET /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2026-05-03 17:26:03,174 log 19624 23860 "GET /api/v1/auth/profile/ HTTP/1.1" 200 219
